file,class,width,height,channels,extension
01_missing_hole_01.jpg,Missing_hole,3034,1586,3,.jpg
01_missing_hole_02.jpg,Missing_hole,3034,1586,3,.jpg
01_missing_hole_03.jpg,Missing_hole,3034,1586,3,.jpg
01_missing_hole_04.jpg,Missing_hole,3034,1586,3,.jpg
01_missing_hole_05.jpg,Missing_hole,3034,1586,3,.jpg
01_missing_hole_06.jpg,Missing_hole,3034,1586,3,.jpg
01_missing_hole_07.jpg,Missing_hole,3034,1586,3,.jpg
01_missing_hole_08.jpg,Missing_hole,3034,1586,3,.jpg
01_missing_hole_09.jpg,Missing_hole,3034,1586,3,.jpg
01_missing_hole_10.jpg,Missing_hole,3034,1586,3,.jpg
01_missing_hole_11.jpg,Missing_hole,3034,1586,3,.jpg
01_missing_hole_12.jpg,Missing_hole,3034,1586,3,.jpg
01_missing_hole_13.jpg,Missing_hole,3034,1586,3,.jpg
01_missing_hole_14.jpg,Missing_hole,3034,1586,3,.jpg
01_missing_hole_15.jpg,Missing_hole,3034,1586,3,.jpg
01_missing_hole_16.jpg,Missing_hole,3034,1586,3,.jpg
01_missing_hole_17.jpg,Missing_hole,3034,1586,3,.jpg
01_missing_hole_18.jpg,Missing_hole,3034,1586,3,.jpg
01_missing_hole_19.jpg,Missing_hole,3034,1586,3,.jpg
01_missing_hole_20.jpg,Missing_hole,3034,1586,3,.jpg
04_missing_hole_01.jpg,Missing_hole,3056,2464,3,.jpg
04_missing_hole_02.jpg,Missing_hole,3056,2464,3,.jpg
04_missing_hole_03.jpg,Missing_hole,3056,2464,3,.jpg
04_missing_hole_04.jpg,Missing_hole,3056,2464,3,.jpg
04_missing_hole_05.jpg,Missing_hole,3056,2464,3,.jpg
04_missing_hole_06.jpg,Missing_hole,3056,2464,3,.jpg
04_missing_hole_07.jpg,Missing_hole,3056,2464,3,.jpg
04_missing_hole_08.jpg,Missing_hole,3056,2464,3,.jpg
04_missing_hole_09.jpg,Missing_hole,3056,2464,3,.jpg
04_missing_hole_10.jpg,Missing_hole,3056,2464,3,.jpg
04_missing_hole_11.jpg,Missing_hole,3056,2464,3,.jpg
04_missing_hole_12.jpg,Missing_hole,3056,2464,3,.jpg
04_missing_hole_13.jpg,Missing_hole,3056,2464,3,.jpg
04_missing_hole_14.jpg,Missing_hole,3056,2464,3,.jpg
04_missing_hole_15.jpg,Missing_hole,3056,2464,3,.jpg
04_missing_hole_16.jpg,Missing_hole,3056,2464,3,.jpg
04_missing_hole_17.jpg,Missing_hole,3056,2464,3,.jpg
04_missing_hole_18.jpg,Missing_hole,3056,2464,3,.jpg
04_missing_hole_19.jpg,Missing_hole,3056,2464,3,.jpg
04_missing_hole_20.jpg,Missing_hole,3056,2464,3,.jpg
05_missing_hole_01.jpg,Missing_hole,2544,2156,3,.jpg
05_missing_hole_02.jpg,Missing_hole,2544,2156,3,.jpg
05_missing_hole_03.jpg,Missing_hole,2544,2156,3,.jpg
05_missing_hole_04.jpg,Missing_hole,2544,2156,3,.jpg
05_missing_hole_05.jpg,Missing_hole,2544,2156,3,.jpg
05_missing_hole_06.jpg,Missing_hole,2544,2156,3,.jpg
05_missing_hole_07.jpg,Missing_hole,2544,2156,3,.jpg
05_missing_hole_08.jpg,Missing_hole,2544,2156,3,.jpg
05_missing_hole_09.jpg,Missing_hole,2544,2156,3,.jpg
05_missing_hole_10.jpg,Missing_hole,2544,2156,3,.jpg
06_missing_hole_01.jpg,Missing_hole,2868,2316,3,.jpg
06_missing_hole_02.jpg,Missing_hole,2868,2316,3,.jpg
06_missing_hole_03.jpg,Missing_hole,2868,2316,3,.jpg
06_missing_hole_04.jpg,Missing_hole,2868,2316,3,.jpg
06_missing_hole_05.jpg,Missing_hole,2868,2316,3,.jpg
